experiment_id,timestamp_utc,git_commit,config_hash,data_period,pairs,model_type,parameters,cost_scenario,result_summary,notes,status
EXP-000,2026-08-01T00:00:00Z,,,n/a,n/a,framework-setup,n/a,n/a,"Framework scaffolded; no market experiments run â€” data access blocked in this environment","See reports/00_repository_audit.md",accepted
EXP-001,2026-08-01T17:11:39+00:00,e69c7a7,e37c59e8da22,extended_2010->present,ZT_ZF;ZF_ZN;ZT_ZN;ZN_ZB;ES_NQ (proxy);ES_RTY (proxy);ES_YM (proxy),daily_preview_screen(EG+ADF/KPSS+OLS126+half_life),"{""assumption"": ""A-015"", ""decision"": ""D-007"", ""ols_window_bars"": 126, ""source"": ""yfinance_daily""}",none (no trading simulated at daily resolution),ZT_ZF:flag_disqualifying; ZF_ZN:flag_disqualifying; ZT_ZN:flag_disqualifying; ZN_ZB:flag_disqualifying; ES_NQ (proxy):flag_disqualifying; ES_RTY (proxy):flag_disqualifying; ES_YM (proxy):flag_disqualifying,Screening tier only — cannot validate pairs or measure intraday reversion. See reports/preview/daily_pair_screen.md,pending_review
EXP-002,2026-08-01T17:11:39+00:00,e69c7a7,e37c59e8da22,research_2019-06->present,MES_MNQ;MES_M2K;MES_MYM;ZT_ZF;ZF_ZN;ZT_ZN;ZN_ZB,daily_preview_screen(EG+ADF/KPSS+OLS126+half_life),"{""assumption"": ""A-015"", ""decision"": ""D-007"", ""ols_window_bars"": 126, ""source"": ""yfinance_daily""}",none (no trading simulated at daily resolution),MES_MNQ:flag_disqualifying; MES_M2K:flag_disqualifying; MES_MYM:structure_present; ZT_ZF:flag_disqualifying; ZF_ZN:flag_disqualifying; ZT_ZN:flag_disqualifying; ZN_ZB:flag_disqualifying,Screening tier only — cannot validate pairs or measure intraday reversion. See reports/preview/daily_pair_screen.md,pending_review
EXP-003,2026-08-01T17:13:17+00:00,e69c7a7,e37c59e8da22,extended_2010->present,ZT_ZF;ZF_ZN;ZT_ZN;ZN_ZB;ES_NQ (proxy);ES_RTY (proxy);ES_YM (proxy),daily_preview_screen(EG+ADF/KPSS+OLS126+half_life),"{""assumption"": ""A-015"", ""decision"": ""D-007"", ""ols_window_bars"": 126, ""source"": ""yfinance_daily""}",none (no trading simulated at daily resolution),ZT_ZF:no_daily_structure; ZF_ZN:no_daily_structure; ZT_ZN:no_daily_structure; ZN_ZB:no_daily_structure; ES_NQ (proxy):no_daily_structure; ES_RTY (proxy):no_daily_structure; ES_YM (proxy):no_daily_structure,Screening tier only — cannot validate pairs or measure intraday reversion. See reports/preview/daily_pair_screen.md,pending_review
EXP-004,2026-08-01T17:13:17+00:00,e69c7a7,e37c59e8da22,research_2019-06->present,MES_MNQ;MES_M2K;MES_MYM;ZT_ZF;ZF_ZN;ZT_ZN;ZN_ZB,daily_preview_screen(EG+ADF/KPSS+OLS126+half_life),"{""assumption"": ""A-015"", ""decision"": ""D-007"", ""ols_window_bars"": 126, ""source"": ""yfinance_daily""}",none (no trading simulated at daily resolution),MES_MNQ:no_daily_structure; MES_M2K:no_daily_structure; MES_MYM:daily_structure_present; ZT_ZF:no_daily_structure; ZF_ZN:no_daily_structure; ZT_ZN:no_daily_structure; ZN_ZB:no_daily_structure,Screening tier only — cannot validate pairs or measure intraday reversion. See reports/preview/daily_pair_screen.md,pending_review
EXP-005,2026-08-01T18:54:05+00:00,3759d78,574f676bd602,2019-06-01 -> 2026-05-04 (free-tier clip),"all 8 instruments (roll events, not pairs)","qc_roll_audit(mapped-flip detection, per-contract History gaps, chart channel)","{""mapping"": ""OpenInterest"", ""normalization"": ""BackwardsRatio"", ""resolution"": ""minute"", ""runs"": ""Casual Fluorescent Orange Jellyfish (+truncated Adaptable Apricot Bee)""}",none (no trading simulated),"220 rolls: quarterly cadence exact; index flips dte=0 (vs 0.71-0.95), treasuries dte 18-36 (vs 0.15-0.52); median |gap| 0.21-0.74%; 56 streamed splices leaked gap",Validation report 01; QC free-tier log cap 10KB/day forced chart-channel output,pending_review
EXP-006,2026-08-01T18:54:05+00:00,3759d78,3cad723095b9,all 220 roll splices 2019-06 -> 2026-03,all 8 instruments,"splice_refetch_sweep(History probes, summary-stat channel)","{""algo_clock"": ""2026-04-28"", ""probe_window"": ""flip -2d/+1d minute"", ""runs"": ""Geeky Orange Salmon + Geeky Fluorescent Yellow Guanaco""}",none,"FINAL: 151 clean / 24 streaming-only / 40 DATA-SIDE gap leaks (M2K 19, MYM 14, MNQ 4, MES 3, treasuries 0) / 5 ambiguous (4 = 2022-08-28 Jackson Hole reopen)",A-004 FALSIFIED -> D-009 own-splice construction; L-010 logged,reviewed
EXP-007,2026-08-01T19:30:02+00:00,6727771,68632fbcf3c4,"2019-06 -> 2026-04 (research window, clip)","M2K, ZN (single-symbol continuous construction)","own_splice_acceptance(build_continuous+splice_audit in QC, shipped module)","{""factor"": ""median_ratio w390 min_overlap30"", ""index_rule"": ""expiry-8d @10:30ET"", ""runs"": ""Hipster Sky Blue Wolf (M2K) + Fat Sky Blue Badger (ZN)"", ""treasury_rule"": ""month-end-prior @10:30ET""}",none,"PASS: M2K 28 rolls/1 conservative flag (-6bp, not gap-shaped) vs QC's 19 bad; ZN 27 rolls/1 flag (Memorial Day boundary -8.3bp, not gap-shaped); all factors median_ratio full overlap; carry regime reproduced",D-009 constructor VALIDATED; holidays param added to generators after ZN finding; 62 unit tests green,reviewed
EXP-008,2026-08-01T21:05:00Z,2708752,nb02-d010,2019-06-03 -> 2026-04-24 (free-tier clip),MES_MYM,notebook02_intraday_reversion(conditional P&L event study + variance-ratio curves + roll preflight),"{""assumption"": ""A-006"", ""decision"": ""D-010 (+A1,A2) -> D-011"", ""specs"": ""S1 beta=1 / S2 trailing-OLS-residual / S3 static (look-ahead diagnostic)"", ""entry_z"": [1.5, 2.0, 2.5, 3.0], ""horizons_bars"": [5, 15, 30, 60, 120], ""zscore_lookback"": 390, ""beta_lookback"": 1950, ""vr_q"": [2, 5, 15, 30, 60, 120], ""vr_base_min"": [1, 5, 15], ""n_boot"": 400, ""seed"": 20260801, ""inference"": ""session-clustered (1744 sessions)"", ""runs"": ""Emotional Fluorescent Orange Goat (gate) + Geeky Brown Flamingo + Alert Magenta Rabbit (final)""}",none (no trading simulated; effect sizes reported in bps for notebook 07),"NO REVERSION: 0/60 cells positive at |t|>=3 in S1/S2; 24 of 26 significant cells NEGATIVE (continuation) at entry_z 1.5-2.0; residual VR 0.75 identified as microstructure (flat past q=30, ->0.99 at 5-min base); largest honest session-mean +1.41 bps vs ~2-3 bps round trip","A-006 FALSIFIED for MES_MYM -> D-011. Gate: MES 28/28 clean, MYM 27/28 (1 flag adjudicated non-artifact by bound). Preflight adopted: pre-roll 780 bars, post-roll warm-up 780 bars, re-anchored to D-009 splice. Amendments A1/A2 both logged before results; A2 removed a fake +8.91 t-stat",reviewed
EXP-009,2026-08-02T05:10:00Z,1f2b7e6,nb02-d012,2019-06-03 -> 2026-04-24 (free-tier clip),MES_MNQ,notebook02_intraday_reversion(conditional P&L event study + variance-ratio curves + roll preflight),"{""assumption"": ""A-006"", ""decision"": ""D-012 -> D-013"", ""protocol"": ""identical to EXP-008 (D-010+A1+A2); only the second leg symbol/market differ"", ""specs"": ""S1 beta=1 / S2 trailing-OLS-residual / S3 static (look-ahead diagnostic)"", ""entry_z"": [1.5, 2.0, 2.5, 3.0], ""horizons_bars"": [5, 15, 30, 60, 120], ""zscore_lookback"": 390, ""beta_lookback"": 1950, ""n_boot"": 400, ""seed"": 20260801, ""inference"": ""session-clustered (1780 sessions)"", ""run"": ""Virtual Asparagus Pelican""}",none (no trading simulated; effect sizes in bps for notebook 07),NO REVERSION: 0/60 cells positive at |t|>=3 in S1/S2; 19 of 22 significant cells NEGATIVE (continuation) at entry_z 1.5-2.0; residual VR flat past q=30 (0.994) AND above MES's own leg VR at q=120 (0.922 vs 0.831); largest honest session-mean +1.78 bps at t=2.84 vs ~2-3 bps round trip,"A-006 FALSIFIED for MES_MNQ -> D-013. Gate: ZERO flags both legs, zero dropped bars (cleanest build so far; 4th/5th symbol validating D-009). NEW: held-position roll shock is ONE-SIGNED at all 28 rolls (median 17.4 bps, max 29.0) = ~70bp/yr structural carry drag from NQ's lower dividend yield. Event clock 24.7% vs MYM 24.3% confirms L-013 is a config property, not a pair property",reviewed
